FOF_Halo_ID,Subhalo_ID,sigma_0_projecty,sigma_3_projecty,sigma_5_projecty,sigma_10_projecty
17757919,10214072,527.9078081818002,1.0669274271045313,1.0669274271045313,2.6279335401926422
17788647,10231926,0.9894896299578481,0.9894896299578481,0.9894896299578481,2.5189174930854143
17823213,10250252,825.6842667930731,824.6355142560606,11.048893634032908,12.233040913663972
17853235,10266031,8.005794696516118,3.6367962995328074,4.968609640700671,4.282484556236042
17878050,10284004,442.0840313339929,1.203004303060166,1.2172089950704112,4.246696668740047
17907468,10300353,871.5185368880803,2.723408181829591,1.0213940344823687,4.1131564005316115
17932993,10316089,728.8271171551643,1.234013904817175,1.1100629018738102,2.565054658773739
17963598,10333667,1.3179302030715379,1.3939853720659807,1.3939853720659807,1.3179302030715379
17991263,10352043,1.3132917673074147,1.3132917673074147,1.3132917673074147,1.3132917673074147
18021832,10369172,0.9098073175161018,1.160105728667015,2.47480681613229,4.7340229816306545
18052809,10385645,3.95026458129359,2.385711918964972,2.3474780548950758,3.6756935144921306
18079516,10402165,614.6282816887762,615.0528635348165,615.0528635348165,2.5081168847027158
18103755,10416348,962.2165922949549,1.5211898666153267,1.5211898666153267,2.9301427760516674
18130967,10431576,2.6810330056195126,1.3646700006870076,0.9446525102658929,0.9446525102658929
18157149,10447809,7.873826880829965,22.79904461958009,21.426843801937054,14.146364039230725
18186894,10464248,532.2414293695671,532.2414293695671,1.1510732834189026,1.2566394254033362
18219526,10480760,2.6542544663070284,1.2631722019722516,1.2631722019722516,2.6542544663070284
18245740,10496063,2.728586451401726,2.6503153215636974,2.6503153215636974,2.6503153215636974
18270342,10511936,2711.655036221404,2865.7087356650923,2867.8741062597883,2866.342741003687
18303549,10527840,7.36774208028026,2.502142588854105,1.10140536062146,1.2884730103609354
18328240,10542006,171.74875085953855,261.5420396711034,261.12087795850954,259.51681490801076
18353689,10556853,14.550703726151939,14.550703726151939,14.169743225086751,13.158616095095688
18382237,10571412,7.491425090996971,1.040144573588133,1.040144573588133,2.44041049280124
