fof_halo_id_99,snap,halo_id_snap,blue_frac_05,blue_frac_03,merger_score_pre,merger_score_post
1263653,74,1294791,0.1793103448275862,0.14482758620689656,3.7965359189800507,6.449439614375184
1431487,74,1477453,0.4460431654676259,0.32014388489208634,1.7876221815009588,2.9704709986902804
1580995,74,1636263,0.15948275862068967,0.09913793103448276,3.390052768623071,2.0663693387893893
1763481,74,1810943,0.31901840490797545,0.24539877300613497,2.0860410245519865,4.591253063824286
1921024,74,1980280,0.2074074074074074,0.15555555555555556,2.4983454324293084,2.0907965028299373
2069291,74,2134487,0.17365269461077845,0.12574850299401197,2.0535867715958953,4.952425540753435
2213486,74,2276675,0.28804347826086957,0.21739130434782608,2.8629235336049113,3.3882202888265964
2380799,74,2434623,0.09649122807017543,0.07017543859649122,2.787719470747673,1.6725561638634012
2507618,74,2573503,0.15639810426540285,0.11848341232227488,4.564730019599291,2.6369551326612486
2637623,74,2713994,0.17261904761904762,0.13690476190476192,2.4873020053803128,2.7840887405249912
2771226,74,2838999,0.3275862068965517,0.2543103448275862,1.4125704282721772,0.8677198584893546
2892630,74,2965673,0.17647058823529413,0.11764705882352941,4.698483597543971,0.8368999819115635
3020669,74,3086566,0.27071823204419887,0.22099447513812154,1.5168061743854873,3.050051946767714
3135769,74,3209537,0.3333333333333333,0.26344086021505375,0.7520012833625995,1.0976821799691736
3238091,74,3315032,0.14935064935064934,0.12337662337662338,1.9858634837777658,0.6934413116076599
3343359,74,3422723,0.3005464480874317,0.18579234972677597,1.796700075510143,1.0123257370846712
3457081,74,3540570,0.13440860215053763,0.11827956989247312,6.988919746037921,2.3111614982348767
3556542,74,3640885,0.17553191489361702,0.1276595744680851,2.1322786912160674,4.468907211826783
3656685,74,3742839,0.2857142857142857,0.22142857142857142,0.4454733627427545,3.1206398117101273
3758330,74,3850894,0.2345679012345679,0.18518518518518517,3.7347577414656103,3.020356699461607
3863281,74,3968875,0.21739130434782608,0.15942028985507245,2.653906973071688,2.834166774225645
3960854,74,4078868,0.21551724137931033,0.16379310344827586,0.2817138068727311,1.6153933719438185
4054274,74,4185302,0.25203252032520324,0.17073170731707318,5.34586997610706,1.9990023455711317
4152102,74,4293252,0.2556390977443609,0.20300751879699247,0.4039207837657094,4.151181453770601
4254230,74,4395498,0.3516483516483517,0.2802197802197802,0.992132081810079,3.1958524230769734
4356618,74,4504260,0.32211538461538464,0.2644230769230769,1.3757126267318873,3.613853124331356
4461296,74,4613123,0.3048780487804878,0.23780487804878048,1.6666025561410933,3.570118651014961
4561713,74,4716879,0.3333333333333333,0.27450980392156865,1.0267302655877808,2.3230977463743026
4656216,74,4812355,0.15723270440251572,0.11949685534591195,1.422378763175225,3.2166819094903993
4753637,74,4907167,0.2976190476190476,0.2261904761904762,2.042647991990806,0.2983774095688734
4854863,74,5006898,0.26811594202898553,0.1956521739130435,1.0,3.971595397929417
4959833,74,5103932,0.2573099415204678,0.19883040935672514,2.2983034275973755,0.9526712224873046
5059214,74,5208004,0.20588235294117646,0.15441176470588236,2.375303944684247,3.0572825106066945
5160063,74,5313150,0.4479166666666667,0.34375,2.182366203831233,4.644709388620089
5251697,74,5408792,0.13793103448275862,0.10344827586206896,3.6177312803199086,1.0646908972881919
5348819,74,5504335,0.5394736842105263,0.39473684210526316,1.0300346136621323,0.9777380750179332
5432141,74,5598141,0.20121951219512196,0.15853658536585366,4.412271231871429,1.118893185679231
5524229,74,5686854,0.2875,0.24375,0.8446120080212519,3.0109879458146214
5608717,74,5778702,0.2463768115942029,0.18840579710144928,2.2414745635545437,2.278344466624972
5693289,74,5867134,0.24324324324324326,0.17297297297297298,2.7219057216245917,2.2026115573539764
5787144,74,5966539,0.12307692307692308,0.07692307692307693,1.3185132259325352,0.7502412625277648
5873398,74,6057111,0.32941176470588235,0.27058823529411763,2.9882796544774144,0.6104775407790908
5956970,74,6149561,0.34177215189873417,0.25949367088607594,0.4709402612253665,2.624751681631733
6043040,74,6236135,0.23699421965317918,0.16184971098265896,0.8606830415788467,1.6262226699579803
6130348,74,6324829,0.410958904109589,0.2876712328767123,0.7183544216960572,2.3677802503362573
6225917,74,6417785,0.3660130718954248,0.3137254901960784,3.0270393798689845,2.2796036417182695
6325415,74,6511898,0.31693989071038253,0.2786885245901639,2.8850287613271317,2.1885030794559746
6412656,74,6603954,0.18181818181818182,0.14049586776859505,3.41456670078061,1.4331014015604584
6499612,74,6693165,0.3333333333333333,0.2727272727272727,3.1481089564547324,1.131961774335276
6574070,74,6773387,0.41578947368421054,0.2894736842105263,1.01221613599591,5.269865257364411
6664769,74,6863920,0.17567567567567569,0.13513513513513514,2.582221853134123,1.3685704715664708
6748564,74,6951579,0.2,0.16,1.8636888522846826,0.29509703028556755
6834499,74,7036192,0.28431372549019607,0.22549019607843138,1.5466308848164647,4.3275543077418535
6913365,74,7115221,0.2966101694915254,0.23728813559322035,0.8674834552289983,2.29079102883433
6991026,74,7190326,0.25,0.1935483870967742,1.5254457139643964,2.862185121150863
7065334,74,7268893,0.31683168316831684,0.22772277227722773,2.5805687537871638,2.0310487963020574
7146294,74,7354582,0.26229508196721313,0.16393442622950818,1.161214512682508,2.8779321056122598
7235867,74,7441356,0.2727272727272727,0.21212121212121213,2.259017718774721,1.4108137843127442
7325028,74,7531348,0.12418300653594772,0.09803921568627451,3.9998523961599592,0.6955296128594877
7403396,74,7611437,0.203125,0.1328125,0.10890579645470413,2.22018856741516
7474466,74,7685431,0.3448275862068966,0.2672413793103448,2.3446132569140516,1.6346514877983704
7547375,74,7763080,0.14457831325301204,0.0963855421686747,3.115727861129038,2.0902339129456466
7630798,74,7845175,0.3442622950819672,0.2459016393442623,3.256743378094248,0.744942723434241
7706133,74,7929283,0.2571428571428571,0.16428571428571428,2.256255938585846,1.7197857617950723
7778424,74,8005867,0.30275229357798167,0.22018348623853212,1.1497671776493288,3.134881138202436
7860333,74,8085060,0.30434782608695654,0.18840579710144928,1.129463529244599,1.4249924410598627
7935722,74,8167678,0.29906542056074764,0.21495327102803738,0.9296849587563065,2.5483147344205994
8012756,74,8246069,0.2711864406779661,0.23728813559322035,2.2105516684212114,0.8285716343483367
8094210,74,8328107,0.46218487394957986,0.35294117647058826,1.271182496571201,4.597245904274736
8175593,74,8407542,0.3191489361702128,0.24113475177304963,1.079569353473569,1.8282173956609495
8241267,74,8479053,0.3816793893129771,0.31297709923664124,1.3231225210820587,1.4995922316137016
8311356,74,8556101,0.24324324324324326,0.18018018018018017,2.582037360933398,0.7470007651674186
8384388,74,8629882,0.2727272727272727,0.23376623376623376,0.7563048116221289,0.21541363874030406
8460952,74,8707684,0.2926829268292683,0.21951219512195122,0.0,0.0
8560074,74,8791115,0.39285714285714285,0.35714285714285715,0.9744819907246491,0.8635008687276837
8629805,74,8868957,0.3076923076923077,0.22115384615384615,0.0,2.6127112456838137
