Index,FOF_Halo_ID_At99,Subhalo_ID_At99,FOF_Halo_ID_At92,Subhalo_ID_At92,GroupPos,Group_R_Crit200,Group_R_Crit500
104,10293151,5672728,10396622,"[193075.5625, 603630.875, 270944.8125]",1473.4208984375,944.9270629882812
105,10351662,5711568,10456722,"[559068.0, 382495.15625, 510837.46875]",1472.689453125,873.4072875976562
106,10422957,5745622,10526947,"[7876.5400390625, 391389.34375, 632204.4375]",1542.4752197265625,986.4891967773438
107,10484363,5782123,10587338,"[425246.5, 585981.0, 587478.5]",1497.8182373046875,987.0570678710938
108,10545631,5818836,10650390,"[53746.15625, 605525.1875, 187302.375]",1325.492919921875,874.4422607421875
109,10612178,5856285,10718683,"[314665.0, 160269.859375, 578000.8125]",1500.406005859375,988.1471557617188
110,10672584,5891132,10778500,"[557872.5625, 433357.8125, 512227.46875]",1508.6624755859375,978.6212768554688
111,10739656,5930287,10844693,"[81667.5703125, 310957.1875, 273590.6875]",1420.2384033203125,924.6923828125
112,10809596,5965641,10912020,"[45647.640625, 600936.5625, 20084.140625]",1195.5404052734375,764.773193359375
113,10886163,6003385,10988192,"[227233.53125, 495346.40625, 115304.9609375]",1537.0504150390625,990.9758911132812
114,10943032,6041354,11044274,"[656434.6875, 399491.4375, 12063.513671875]",1407.955078125,913.8362426757812
115,11009511,6076958,11109689,"[262357.4375, 576100.5625, 640031.6875]",1498.9365234375,976.9530639648438
116,11069985,6113278,11171187,"[178801.125, 172419.546875, 186306.359375]",1421.3497314453125,937.021484375
117,11128914,6147777,11232101,"[225692.859375, 531282.875, 2834.875244140625]",1539.282470703125,1045.05029296875
118,11186149,6184597,11289655,"[583719.6875, 472117.5, 410717.0]",1492.7635498046875,1018.5305786132812
119,11247535,6220532,11348860,"[176158.9375, 119063.1640625, 563412.125]",1503.3349609375,933.2807006835938
120,11318647,6253994,11414185,"[38859.51171875, 235491.046875, 349783.53125]",1350.7769775390625,897.87646484375
121,11375025,6288844,11473321,"[560461.25, 117207.5078125, 550828.3125]",1433.0687255859375,959.761962890625
122,11433807,6322297,11533251,"[117576.921875, 179079.875, 188483.09375]",1249.1785888671875,784.197509765625
123,11484512,6356900,11585677,"[460627.25, 619696.75, 280379.96875]",1337.8173828125,911.5379028320312
124,11543591,6390553,11645900,"[95333.265625, 38796.52734375, 21488.853515625]",1336.65625,833.6486206054688
125,11603245,6426837,11707285,"[615841.75, 20238.869140625, 46765.1796875]",1408.8851318359375,936.2960815429688
126,11659115,6460124,11761728,"[624387.125, 341044.21875, 539660.4375]",1346.0836181640625,891.5436401367188
127,11713845,6490262,11818295,"[340627.75, 305060.8125, 216196.234375]",1403.0328369140625,937.9730834960938
128,11767506,6522384,11874293,"[190938.90625, 292468.875, 48886.140625]",1197.2384033203125,785.5855712890625
129,11823213,6556529,11931721,"[7254.70947265625, 19522.388671875, 149058.40625]",1432.420166015625,965.5086059570312
130,11876224,6585145,11986083,"[517257.375, 243649.1875, 246423.3125]",1425.163330078125,907.3463745117188
131,11929315,6617842,12038658,"[478549.5625, 192787.84375, 451723.875]",1235.311767578125,815.8682861328125
132,11988351,6651310,12098829,"[277851.40625, 280783.125, 170642.9375]",1434.4599609375,982.431396484375
133,12045847,6681731,12157520,"[559042.75, 196243.640625, 213966.796875]",1205.4405517578125,737.0438842773438
134,12109947,6710059,12223414,"[215362.390625, 570500.8125, 656698.5625]",1429.384033203125,951.1432495117188
