Index,FOF_Halo_ID_At99,Subhalo_ID_At84,FOF_Halo_ID_At84,GroupPos,Group_R_Crit200,Group_R_Crit500
109,10612178,6168410,10789684,"[315287.25, 159826.078125, 578784.0]",1290.2239990234375,786.67138671875
110,10672584,6205698,10850667,"[557814.625, 433906.5625, 511988.0625]",1635.2498779296875,1057.9111328125
111,10739656,6246528,10913474,"[81027.7109375, 310991.21875, 273213.9375]",1529.5797119140625,964.3203735351562
112,10809596,6283650,10978509,"[45362.05859375, 601651.0, 19905.765625]",1183.91748046875,762.4187622070312
113,10886163,6323025,11054451,"[226995.53125, 494985.15625, 115166.2265625]",1510.002685546875,953.9586181640625
114,10943032,6362721,11114399,"[656401.75, 399881.03125, 12658.6064453125]",1513.426513671875,943.7747802734375
115,11009511,6400271,11181627,"[263255.9375, 576375.6875, 638991.5625]",1270.789306640625,755.413818359375
116,11069985,6438804,11244677,"[178893.015625, 172633.46875, 186527.25]",1512.3035888671875,992.2107543945312
117,11128914,6474948,11306469,"[226254.8125, 532040.875, 3662.603515625]",1280.2940673828125,802.0610961914062
118,11186149,6513711,11366567,"[583850.75, 471754.0625, 410081.90625]",1371.92822265625,879.2550048828125
119,11247535,6551908,11427189,"[176210.6875, 118472.890625, 563768.1875]",1574.769775390625,980.8616943359375
120,11318647,6587344,11494741,"[38618.7890625, 235278.390625, 349674.21875]",1391.5953369140625,944.5958862304688
121,11375025,6623698,11557421,"[560961.4375, 117198.1015625, 551124.25]",1542.8795166015625,998.0363159179688
122,11433807,6658663,11616007,"[116594.7734375, 179297.015625, 188466.796875]",1233.1680908203125,792.6119384765625
123,11484512,6694835,11669648,"[460627.625, 620205.3125, 280811.625]",1324.3280029296875,866.6694946289062
124,11543591,6730216,11728256,"[95125.53125, 38891.92578125, 21770.1953125]",1335.945068359375,833.5186767578125
125,11603245,6768469,11787944,"[615229.375, 20535.01171875, 46987.98828125]",1419.237548828125,887.14306640625
126,11659115,6803322,11842426,"[623813.9375, 341001.25, 539496.125]",1272.52099609375,843.6394653320312
127,11713845,6834891,11899947,"[340973.0, 305476.46875, 216183.625]",1307.5767822265625,805.30810546875
128,11767506,6868640,11956131,"[191444.3125, 292481.28125, 48893.828125]",1212.9273681640625,797.0126342773438
129,11823213,6904361,12017596,"[7451.578125, 19664.84375, 149388.921875]",1518.1563720703125,1002.9971313476562
130,11876224,6934252,12072494,"[517492.375, 243678.78125, 246326.84375]",1487.6776123046875,982.96044921875
131,11929315,6968767,12125195,"[478339.65625, 192445.21875, 451275.03125]",1338.0888671875,873.887939453125
132,11988351,7003877,12181986,"[277537.53125, 280354.0, 170068.96875]",1296.8037109375,748.2162475585938
133,12045847,7036380,12241571,"[559141.6875, 196319.71875, 213235.328125]",1189.231689453125,770.7224731445312
134,12109947,7066609,12307120,"[215374.9375, 570880.6875, 656839.3125]",1355.766357421875,889.8053588867188
135,12169414,7099341,12365753,"[628791.5625, 171816.484375, 189512.1875]",1451.8526611328125,978.3889770507812
136,12224103,7133372,12417474,"[483998.15625, 40355.95703125, 142657.140625]",1203.7401123046875,790.6691284179688
137,12274768,7164620,12469884,"[241584.828125, 584036.0, 162083.15625]",1275.6300048828125,835.81982421875
138,12334208,7198395,12532696,"[153952.296875, 262373.625, 559184.5625]",1551.5909423828125,1024.1220703125
139,12381782,7226610,12583796,"[396061.21875, 329731.28125, 304618.125]",1175.7642822265625,786.0694580078125
140,12432056,7259062,12634279,"[59912.43359375, 528283.875, 216969.34375]",1069.9395751953125,703.708984375
141,12485362,7292326,12691937,"[561709.625, 552750.3125, 16886.751953125]",1185.8924560546875,719.6231689453125
142,12534413,7326388,12745892,"[269532.125, 607075.9375, 554366.375]",1291.8458251953125,850.285888671875
143,12582631,7358370,12797098,"[15059.7216796875, 638966.6875, 141387.109375]",1110.5833740234375,729.8101806640625
144,12632860,7390772,12853020,"[150972.265625, 169211.015625, 502134.9375]",1020.564208984375,638.6888427734375
145,12698185,7420977,12917382,"[295067.59375, 543944.9375, 29238.369140625]",1169.486328125,645.8681640625
146,12755885,7449221,12977508,"[380768.59375, 487924.375, 249511.015625]",1406.455810546875,861.1048583984375
147,12816749,7479583,13039286,"[635007.6875, 649787.75, 157610.703125]",1266.633056640625,831.5186767578125
148,12871237,7509022,13097824,"[193213.203125, 475498.625, 266075.9375]",1250.7479248046875,824.0066528320312
149,12925049,7540474,13155349,"[26674.8671875, 670923.8125, 18932.787109375]",1403.8658447265625,878.5271606445312
150,12981983,7568625,13211163,"[347670.625, 619263.0, 307660.96875]",1062.979736328125,694.0925903320312
151,13035077,7600578,13265012,"[613565.75, 360497.78125, 633486.0625]",1275.7879638671875,833.4590454101562
152,13083432,7631495,13316140,"[611576.4375, 263892.6875, 29734.12109375]",1165.6063232421875,761.031982421875
153,13133868,7666611,13371165,"[326514.21875, 29030.146484375, 622640.5625]",1208.556640625,686.8187866210938
154,13176044,7699738,13418091,"[494000.4375, 440945.8125, 251941.046875]",938.8421630859375,606.3789672851562
155,13231280,7732001,13474771,"[281711.25, 583207.0, 178404.171875]",1461.318359375,950.4821166992188
