FOF_Halo_ID,Subhalo_ID,sigma_0_projectz,sigma_3_projectz,sigma_5_projectz,sigma_10_projectz
708444,401947,1043.0358785949113,4.001365150093752,7.278672754944209,12.452918860229929
905707,515440,7836.572338098909,7062.766077848699,6873.127233875712,6876.2212764963215
1099467,629105,77.50746412082836,1.2083023382604765,4.894002649130799,7.1806120015485195
1289969,731681,1335.1096492777579,60.12092006614419,46.08177945244759,40.44770091715684
1467438,830848,1276.168102554841,1277.416578396255,1898.3663868967567,1897.5210731634143
1617102,928389,55.01308897631879,74.04139198900073,63.266022298411755,58.4895020299536
1791552,1014414,780.5181663720011,1.117524556300331,2.459469520736804,9.407543111414075
1954520,1110520,1375.4812283703843,1375.4812283703843,1375.4812283703843,1375.4812283703843
2106983,1194856,1178.5599945265549,1178.5599945265549,2.453051373374465,64.71329314939175
2249928,1278811,1565.6831077382108,196.4941953588602,197.05704154355328,197.55620720524567
2412912,1358970,859.0694009333889,25.61263175098271,62.30627974768204,63.4088742226359
2560083,1434922,17.004102355296272,5.088978817028525,8.080552204347423,7.919344181910006
2697771,1510099,306.88442919576914,308.2950212914466,308.2950212914466,7.405565262093899
2825627,1579820,623.2044586698372,50.876169442659005,12.401687458180255,18.57478788379814
2952601,1648682,811.6868108242023,810.8978330575987,2.697077218333466,5.928853005347841
3080297,1717913,3.711563618838176,1.367790229006494,1.1524946416380302,2.4305282552935155
3196088,1783556,3.3474209676246907,1.0341647993786591,2.4526207180671644,3.2221057433095375
3298239,1850099,648.036546358056,1.2257959803134568,1.354511395065913,4.356951901648894
3407987,1918602,2.66266633765448,1.0127566096140803,1.2211231506010816,4.833834394197235
3533783,1986010,419.8454901758165,420.3032506988901,1.073312946360386,4.0941409736163275
3637925,2044071,1748.2001447487485,1748.2001447487485,1748.2001447487485,1619.1359334048775
3741376,2103793,5.027625558162061,5.027625558162061,5.027625558162061,4.417102193648951
3846078,2169273,1363.749145501786,1363.749145501786,1363.749145501786,1308.020650005508
3958049,2226258,92.5822497696489,3.294456621320861,4.102492662749329,5.74737594632248
4060554,2284021,2.805133157397226,0.9048011279927435,0.9048011279927435,2.2997951378328705
4164126,2346051,849.0707812666835,1.1886426355874635,1.1886426355874635,2.661489049038036
4268069,2403409,2.5708131053131478,1.1037589264028957,1.19822216472255,1.1037589264028957
4365334,2465493,2564.9850237604596,2563.3727742575343,2563.3727742575343,2922.831804796283
4471204,2526359,1290.142390748342,7.264128802374735,8.657031376913107,7.581627293606773
4578137,2586070,173.01112432351306,93.98403097923843,94.36053564168448,47.470427166697064
4679229,2641258,1017.4143035997366,1017.4143035997366,1016.8868680874017,1016.8868680874017
4770290,2702220,158.76281026792523,158.76281026792523,156.42792698419754,134.07077119666025
4863078,2760419,2.6058039800855535,2.532417819458506,3.395697032657061,8.083711146951414
4963084,2819463,4.067900857830093,4.067900857830093,3.9709583470163126,2.3327080455939395
5055393,2877270,1.0793585283338272,0.962444735927926,1.0793585283338272,0.962444735927926
5161003,2937357,1.3437482225424011,1.2018097532803564,1.2018097532803564,1.0005935924274352
5263968,2996855,3220.876464311634,3220.876464311634,3220.876464311634,3222.220986961973
5360800,3052457,2.322603089414407,1.094521946780253,1.094521946780253,0.9022499929466634
5457549,3108044,6.364717374435838,6.364717374435838,4.880763997538257,1.2222635659687682
5549122,3163885,539.7733634746137,82.11681498321641,77.34929190149136,76.47514886900095
5641027,3217698,1.1431860464727168,1.1431860464727168,1.1431860464727168,1.1431860464727168
5730502,3278015,1107.09173498541,2.615664692486758,4.218382582946223,7.495660702619346
5815866,3331341,1523.9479744515534,945.1106722436141,944.8375917501734,946.472725139966
5914383,3381764,4.665607665145972,1.0761657081874898,2.708750559396359,2.597502702487078
6004326,3433975,818.5515466314861,1.116232177830024,1.116232177830024,2.5440380983715514
6091342,3493418,1.4404163915650214,0.9054329663476879,0.9054329663476879,1.1589827909807533
6174196,3546529,249.62940095586737,249.62940095586737,249.62940095586737,249.62940095586737
6264728,3600387,7.579295447632876,6.0298592582817685,4.5571239356460564,4.5571239356460564
6355787,3649939,1191.8925535164535,4.34433082714184,4.067261624433391,5.689745357015104
6452837,3697942,1063.2067583426629,1.0903977116700942,1.0903977116700942,7.768033107599569
